IOU U-Net,IOU OpenCV,IOU OpenCV Denoised
0.990623,0.811171,0.869887
0.991786,0.797282,0.863043
0.989761,0.813161,0.871483
0.989212,0.794397,0.863183
0.98822,0.82039,0.872394
0.989208,0.795201,0.862455
0.992057,0.802488,0.867112
0.991251,0.79579,0.8603
0.98965,0.799389,0.865524
0.966323,0.809833,0.865717
0.992041,0.804673,0.866526
0.991374,0.796333,0.861105
0.991117,0.799135,0.861048
0.99204,0.775066,0.833134
0.992793,0.781752,0.828315
0.986497,0.814874,0.87088
0.99325,0.804074,0.868657
0.991667,0.792488,0.862277
0.992559,0.799491,0.869658
0.992558,0.797964,0.864104
0.981905,0.71685,0.740701
0.992581,0.806875,0.841031
0.991973,0.81071,0.867384
0.966193,0.81235,0.864467
0.981046,0.803843,0.859163
0.990721,0.792119,0.858942
0.99004,0.808286,0.878534
0.989421,0.765589,0.811057
0.991415,0.79962,0.867209
0.980662,0.803095,0.856465
0.992632,0.802518,0.870381
0.967621,0.782218,0.841071
0.991411,0.806681,0.87383
0.992381,0.788757,0.846305
0.990259,0.801407,0.863915
0.992438,0.810871,0.865866
0.989621,0.799254,0.865211
0.991018,0.771781,0.829273
0.991518,0.79592,0.863147
0.989244,0.821587,0.858754
0.991399,0.797843,0.864433
0.991709,0.799661,0.862917
0.991005,0.771677,0.829708
0.99207,0.796796,0.861951
0.963783,0.779298,0.83606
0.990723,0.798996,0.865453
0.98995,0.808132,0.876311
0.969476,0.783052,0.838226
0.990564,0.799024,0.865284
0.993351,0.809292,0.861748
0.988053,0.809833,0.86927
0.9911,0.79605,0.859649
0.993832,0.779166,0.828903
0.970815,0.785312,0.839578
0.991339,0.797092,0.864022
0.991711,0.799835,0.86522
0.963913,0.775267,0.835754
0.98931,0.805051,0.863743
0.992353,0.794768,0.865474
0.989187,0.797394,0.865377
0.992372,0.801226,0.867339
0.991544,0.798143,0.863323
0.992191,0.805147,0.868556
0.991925,0.800115,0.864134
0.989797,0.801516,0.867997
0.988259,0.814805,0.871286
0.990071,0.803797,0.869328
0.989958,0.751029,0.804676
0.991884,0.800051,0.865199
0.988667,0.81551,0.871629
0.980495,0.774372,0.798322
0.990862,0.803352,0.85361
0.991781,0.801902,0.869311
0.991023,0.80834,0.869377
0.968273,0.776538,0.835929
0.99223,0.802294,0.868155
0.991744,0.772585,0.829901
0.988231,0.79706,0.859811
0.982392,0.807946,0.858549
0.993219,0.799924,0.867458
0.992244,0.800548,0.86406
0.977434,0.779259,0.839283
0.977188,0.804254,0.82685
0.992776,0.799182,0.865079
0.99012,0.802511,0.870378
0.989233,0.800679,0.866014
0.990019,0.801758,0.867568
0.993198,0.780543,0.828698
0.991361,0.795237,0.862166
0.987546,0.814705,0.86952
0.988275,0.810205,0.864835
0.991745,0.788837,0.85396
0.991399,0.804511,0.870441
0.98956,0.794063,0.855405
0.99035,0.798768,0.870799
0.991458,0.780765,0.836787
0.991741,0.777968,0.83281
0.984214,0.779541,0.810014
0.992487,0.79986,0.867019
0.984379,0.811025,0.867094
0.990828,0.752764,0.80486
0.990319,0.799827,0.864662
0.990391,0.750155,0.804509
0.991338,0.797759,0.864298
0.991227,0.751737,0.803534
0.99339,0.807588,0.865375
0.967392,0.769659,0.813758
0.989921,0.81311,0.868067
0.993172,0.780005,0.826414
0.980128,0.825342,0.852525
0.991731,0.807073,0.870684
0.984532,0.807188,0.859258
0.992163,0.792382,0.86392
0.990567,0.797986,0.861436
0.99342,0.801031,0.86642
0.984561,0.815287,0.867469
0.991558,0.801552,0.869613
0.991656,0.762053,0.815448
0.928075,0.763651,0.80539
0.990713,0.752448,0.805704
0.989867,0.759301,0.789307
0.989654,0.815626,0.866729
0.990321,0.746759,0.800909
0.988831,0.794532,0.860949
0.990429,0.800064,0.864345
0.9824,0.791183,0.846679
0.992259,0.801311,0.864431
0.959375,0.821871,0.866984
0.971439,0.718604,0.737263
0.993416,0.796966,0.86572
0.992555,0.779792,0.836535
0.989265,0.796107,0.863975
0.981592,0.727424,0.747584
0.992391,0.800179,0.867135
0.990479,0.797061,0.858696
0.992209,0.781721,0.829184
0.992594,0.806404,0.863976
0.993166,0.780704,0.837236
0.993303,0.802786,0.869902
0.988726,0.742164,0.771178
0.991825,0.803796,0.86945
0.992504,0.800249,0.862234
0.972115,0.779813,0.838933
0.990956,0.796957,0.859408
0.961481,0.749496,0.77128
0.992499,0.770867,0.830547
0.992143,0.804918,0.86941
0.991663,0.752245,0.805277
0.992191,0.80141,0.863408
0.992279,0.801145,0.86313
0.993145,0.798811,0.867357
0.989398,0.803416,0.869925
0.991735,0.774321,0.83324
0.99295,0.762035,0.816111
0.993789,0.808417,0.865354
0.991731,0.817023,0.85061
0.989926,0.796896,0.862451
0.9932,0.786108,0.84655
0.989097,0.804503,0.869845
0.991945,0.807002,0.8638
0.990648,0.810164,0.863618
0.99063,0.795554,0.863943
0.989802,0.752357,0.805664
0.988953,0.806809,0.870118
0.991846,0.802966,0.868725
0.9916,0.802885,0.868183
0.991963,0.751662,0.805499
0.978152,0.781677,0.841456
0.957494,0.81378,0.860434
0.991534,0.753182,0.807033
0.992369,0.801187,0.835238
0.980072,0.782858,0.842377
0.985194,0.81639,0.845522
0.991789,0.802672,0.870178
0.990405,0.805494,0.868341
0.993698,0.798005,0.86374
0.991244,0.798752,0.863758
0.990756,0.815393,0.872204
0.991368,0.753782,0.806148
0.992169,0.795232,0.863856
0.990158,0.801815,0.869001
